timestamp,balance_trade_growth,average_provision_of_build_contract_moscow,micex,deposits_growth,mortgage_value,mortgage_rate,income_per_cap,real_dispos_income_per_cap_growth,rent_price_4+room_bus,rent_price_2room_eco,rent_price_1room_eco,child_on_acc_pre_school,modern_education_share,old_education_build_share,apartment_fund_sqm
2010-01-01,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-02,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-03,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-04,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-05,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-06,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-07,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-08,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-09,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-10,16.8467418546,6.56140632374,1553.7973363,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-11,16.8467418546,6.56140632374,1444.78,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-12,16.8467418546,6.56140632374,1427.67,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-13,16.8467418546,6.56140632374,1435.01,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-14,16.8467418546,6.56140632374,1455.65,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-15,16.8467418546,6.56140632374,1452.67,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-16,16.8467418546,6.56140632374,1452.67,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
2010-01-17,16.8467418546,6.56140632374,1452.67,0.0139468209437,142968.0,13.72,30789.2,0.038,166.754536409,38.8953640886,31.0024423338,"45,713",,,230615.059255
