full_sq,industrial_km,green_zone_km,cemetery_km,catering_km,big_road2_km,church_synagogue_km,water_km,big_road1_km,floor
43.0,1.080934313,0.600973099,1.804127,0.516838085,3.830951404,0.628186549,0.992631058,1.422391404,4.0
34.0,0.966479097,0.065321162,4.655004,0.23028691,3.103995974,0.471446524,0.698081318,2.887376585,3.0
43.0,0.939275144,0.453172405,3.381083,0.190461977,2.927487099,0.755946015,0.468264622,0.647249803,2.0
89.0,0.451173311,0.106124506,2.01708,0.465820158,2.780448941,1.561504846,1.200336487,2.677824284,9.0
77.0,0.392870988,0.236214054,2.936581,0.026102416,3.133530966,0.121680643,0.820294318,1.721833683,4.0
67.0,0.256487453,1.497902638,0.78033,0.004469307,1.478528507,0.870446514,0.612447325,0.284868136,14.0
25.0,0.707268095,0.632444746,1.371596,0.447173592,3.657904476,0.318230275,0.399865062,2.026622672,10.0
44.0,1.166991896,0.165124113,1.131798,0.373715085,3.303551988,0.558238725,0.567006418,1.042290487,5.0
42.0,0.670431737,0.148956733,1.759887,0.123609825,2.725990867,0.555962558,0.322954506,2.438125457,5.0
36.0,2.024970785,0.191191251,2.790526,0.345225166,1.102384108,1.150550082,1.021499072,1.101813754,9.0
36.0,0.859734534,0.191739837,2.013254,0.283067116,2.833297142,1.980072331,0.98514457,2.832870181,12.0
38.0,0.34382912,0.45592583,0.784755,0.801510253,0.755560527,0.585369885,1.454174982,0.423185959,11.0
43.0,0.093757784,0.441057574,2.400424,0.497075931,1.51158015,0.482207276,1.251602133,1.454205997,4.0
31.0,0.652802691,0.086052714,0.900938,0.005144878,1.043572367,0.332050158,0.099465462,0.571993402,4.0
31.0,0.256813706,0.385974217,1.053232,0.180796687,0.820600445,0.75131432,1.386522616,0.239878217,3.0
51.0,1.836320957,0.175785183,1.634567,0.331858293,5.382402522,0.398154433,0.298432038,3.561980236,15.0
47.0,2.055710705,0.125797149,2.135239,0.551986066,4.155110501,0.130999133,0.731178654,1.187343399,4.0
42.0,0.052200385,0.263063686,3.748674,0.258496272,3.716122243,0.785670294,0.845998949,0.189943619,2.0
59.0,0.911485253,0.19844851,1.91323,0.229656718,3.092931743,2.342765879,1.34850809,3.091613829,10.0
44.0,0.222715021,0.811782772,1.188661,0.129263609,3.257432428,0.464104233,1.612675888,3.234142738,4.0
74.0,0.805916637,0.190786254,2.355643,2.166748503,3.450595128,1.64431609,0.285740452,2.864055492,10.0
39.0,0.146312891,0.371157616,2.385666,0.468931905,3.709519015,2.519650533,0.342414713,1.267681132,7.0
48.0,1.339619856,0.219683194,3.571139,0.315827647,2.644123859,1.484165758,1.222660438,1.855884212,6.0
32.0,0.709987056,0.484075935,1.3963,0.002774132,3.685065658,1.22054549,0.63870927,0.483433197,3.0
34.0,0.34882923,0.088997519,3.617691,0.190732586,1.234730275,1.181035225,0.13989704,1.174998282,11.0
45.0,1.731291127,0.015624417,2.971714,0.526071054,0.749997524,1.053074702,0.547479714,0.463584206,9.0
35.0,0.984545119,0.295890764,1.454165,0.306205125,3.947583358,0.57404626,0.878087602,3.348045048,4.0
38.0,0.455460072,0.564688871,1.103615,0.368699609,4.536181181,1.040516917,0.474620277,2.761216983,6.0
73.0,0.538697794,0.037287047,1.032292,0.625775556,5.177484072,0.438261477,0.479617582,4.535959382,15.0
42.0,0.142505204,0.484754927,1.79162,0.073957411,0.472159628,1.487129121,1.217501314,0.059742495,3.0
40.0,0.960905647,0.013879313,0.979468,0.443533797,1.631622956,0.270999427,0.870360229,0.993029216,12.0
81.0,0.064227408,0.675025267,2.363279,0.634190886,1.589261958,1.079540996,1.39735916,1.286863652,24.0
38.0,1.273036668,0.269430621,1.704327,0.369022536,4.431827115,0.784373674,0.340139054,0.227407095,2.0
31.0,1.212503753,0.415969614,2.728817,0.451619606,6.344897176,0.282976973,0.709752976,3.313622634,4.0
39.0,0.954329768,0.03483544,3.425348,0.622543704,6.706709256,0.697792112,0.550929896,3.263793252,1.0
39.0,1.895906933,0.130523909,1.703338,0.438089719,5.279907876,0.489200502,0.327074686,3.485169115,1.0
37.0,1.234855407,0.116891181,1.903379,0.244565462,4.60344085,0.777765972,0.256288561,2.271554717,9.0
27.0,0.830719036,0.395951886,1.542492,0.26346165,4.782848714,1.028226878,0.55257034,3.170453965,4.0
33.0,1.117497958,0.794951927,0.835126,0.10963061,1.857108041,0.947111182,0.400010426,1.614760664,2.0
33.0,1.10391788,0.473971446,0.563412,0.60848041,3.407774915,1.025814189,0.873546992,0.881972619,9.0
45.0,0.598032221,0.534243777,2.002225,0.24113566,2.536694853,0.728333343,0.15200087,1.339324209,5.0
54.0,1.202878124,0.337713286,2.753022,0.422283145,5.433274494,1.01053877,0.238820903,3.870021415,10.0
40.0,0.525694343,0.260543133,0.45877,0.680672242,4.495931402,0.174412841,0.558723096,4.44412562,3.0
59.0,0.642705911,0.102982127,4.917224,0.13117936,4.044370823,0.674470805,0.359608362,2.410606414,8.0
77.0,1.537728118,0.053151036,1.610538,0.415652277,4.83980588,1.15521949,0.183219644,2.731457244,10.0
42.0,0.729962362,0.038322553,1.716977,0.40622053,1.262771914,0.0,0.237405477,1.250605833,24.0
38.0,0.9053853,0.086681926,2.729554,0.459929699,2.052213732,0.46399575,0.683112589,1.99951431,4.0
36.0,0.356236862,0.025446586,1.655739,0.858875861,3.918012386,1.594914612,0.269149158,3.606867407,5.0
44.0,2.001029386,0.016884607,0.882157,0.396981858,0.926363023,1.167551774,0.960467668,0.211421872,2.0
37.0,0.547142366,0.34814866,2.147546,0.397608264,2.235688052,0.478523043,0.412169398,2.137104323,11.0
51.0,0.830719036,0.395951886,1.542492,0.26346165,4.782848714,1.028226878,0.55257034,3.170453965,1.0
37.0,0.604789699,0.05816249,3.412427,0.20550951,0.969602303,1.078610857,1.474660526,0.407331872,6.0
46.0,0.160669926,0.160669926,2.939674,0.358143011,1.62380893,1.347882149,1.486012768,1.170405242,9.0
38.0,0.358270557,0.011110305,0.585736,0.290541124,0.097607417,0.830680694,0.210045613,0.097221302,11.0
34.0,0.267665523,0.200930226,2.639892,0.484491483,5.502683351,0.237393957,0.933903489,4.263893161,10.0
43.0,0.393394517,0.190109006,2.485329,0.183456712,2.670126384,1.213393001,0.879231953,1.778354971,1.0
56.0,0.318591227,0.268605484,1.623569,0.360114312,5.10584786,0.967472098,0.921061885,5.015775134,4.0
35.0,1.063099084,0.142656498,0.836986,0.521511284,5.7949508,0.922279845,0.319262586,4.092280461,6.0
75.0,0.689155177,0.52655498,3.745403,0.132816775,0.856133465,0.740501084,1.675939417,0.723598402,12.0
64.0,1.329986869,0.221275478,2.100473,0.120718218,3.249057128,0.670613728,0.287043116,1.016290776,14.0
96.0,0.83315741,0.090942352,1.660056,0.044421189,1.742890072,1.488867535,0.590133304,1.51128059,16.0
52.0,0.133507697,0.186207633,0.8249,0.25980868,3.396512711,0.061003436,1.275655871,3.374485888,4.0
44.0,1.028823175,0.186708532,0.630637,0.150905401,4.912784525,0.843036887,0.811483824,3.394949927,10.0
39.0,0.972573503,0.204196741,1.095425,0.392903701,2.509316008,1.173976161,0.72297754,1.19086463,10.0
35.0,0.787113795,0.148153743,0.913445,0.327968851,0.864359821,0.629918299,0.684310819,0.743731036,11.0
63.0,0.877369984,0.068053903,1.065957,0.543511984,3.288696078,0.647545114,0.243806729,1.517672084,12.0
50.0,1.333427722,0.086102623,1.384912,0.499981225,1.593602905,0.4336851,1.246049335,0.54186745,9.0
51.0,0.358270557,0.011110305,0.585736,0.290541124,0.097607417,0.830680694,0.210045613,0.097221302,16.0
76.0,0.200693583,0.279711228,1.047723,0.100120151,1.795351065,0.747345124,0.39876913,0.040130964,11.0
45.0,0.497501639,0.113526848,2.16155,0.307607241,2.239935577,1.048723491,1.708698653,2.048425377,6.0
32.0,0.783464096,0.208182461,1.991042,0.185196549,4.369907464,0.843767429,0.476826612,1.109297944,9.0
64.0,0.18346954,0.291386174,1.221997,1.222958821,1.73472514,1.171596861,0.784302093,1.484968124,10.0
66.0,0.698155001,0.12356768,1.345659,0.172782119,1.663961921,0.457764563,0.626008844,1.500122615,2.0
38.0,0.091806129,0.462472317,2.73001,0.131858831,2.507718069,1.596594304,0.49608963,0.204631754,8.0
37.0,0.391159621,0.29128346,0.73826,0.090597023,0.398033791,0.697392418,0.638702695,0.290564564,6.0
46.0,0.739464529,0.625006038,0.892563,0.556286315,1.892587499,0.980385972,0.518735543,1.645424806,3.0
74.0,0.794407769,0.098220275,3.178574,0.146778456,1.637062941,0.18400596,1.38298448,0.58048867,17.0
30.0,0.31340486,0.568969585,0.457155,0.519021356,2.446034608,0.422795879,1.405324618,0.592754222,7.0
53.0,0.598838123,0.158797991,1.49254,0.565847138,1.241753732,1.428553193,0.690648896,0.13828829,13.0
133.0,1.309316666,0.125808403,2.017157,0.217394741,2.536447057,0.968481635,1.724743585,2.332038125,2.0
47.0,0.515319896,0.783198687,2.006969,0.107949793,2.275519787,1.222959966,0.923821131,2.252273459,1.0
50.0,1.460692935,0.26887925,0.847725,0.815604913,4.18091521,1.042401409,0.556986137,2.640846622,9.0
34.0,0.495334029,0.375444562,1.48712,0.829567339,1.478967229,1.085524688,1.304344256,0.952891233,8.0
66.0,0.590354934,0.639098131,0.349279,0.20980875,2.694403458,0.640938,0.277566024,1.018011548,7.0
63.0,0.963254332,0.188103641,1.794626,0.258072751,2.93414147,2.34869042,0.566363876,1.566291087,2.0
43.0,0.273370278,0.138509477,0.27292,0.168539005,2.410928208,0.917950458,0.290546788,2.242605977,7.0
45.0,0.278991569,0.332676094,0.886025,0.186133479,3.88784137,0.595786452,0.407884318,3.864176919,5.0
34.0,0.446787354,0.50843367,3.27883,0.298389165,6.6440828,1.249203656,0.735122284,3.47704983,7.0
43.0,1.412656564,0.432038764,3.653401,0.297944161,3.173663383,0.697661077,0.780198149,2.377379195,9.0
76.0,1.663534095,0.017400485,4.267555,0.410672365,2.991220632,0.411944431,0.137123634,2.020275015,7.0
32.0,1.910792047,0.131824156,2.891038,0.017905234,2.773316004,0.435812286,0.633421064,0.100184951,8.0
50.0,0.87128083,0.197829595,4.086492,0.15999904,2.625359336,0.71245851,1.129912702,1.32742049,5.0
32.0,2.280005675,0.226189914,2.791761,0.32014293,3.530085506,1.512348317,0.496631647,0.83869753,8.0
72.0,1.36049799,0.323773907,0.296106,0.249391478,1.075752666,0.40952637,0.080379498,1.057426636,1.0
45.0,0.331659832,0.281102148,1.388981,0.243482463,4.933019854,0.300091881,0.304256973,1.677572892,3.0
54.0,1.608067266,0.198958629,1.589537,0.08257566,1.919058156,0.770316237,0.269460599,1.253135841,4.0
30.0,0.30127687,0.073929561,4.036713,0.677600964,2.198138088,1.937921568,0.799532499,2.088761921,1.0
39.0,0.627155635,0.554386452,2.362685,0.047852193,5.191745889,0.301096094,0.382225798,4.831865098,8.0
51.0,0.617481903,0.097369772,2.181577,0.305890747,2.161687981,1.865268146,0.409182145,1.940036021,15.0
74.0,1.232138411,0.121336121,0.17489,0.15836626,2.313813394,1.407433176,0.498799194,2.313813394,7.0
41.0,0.07597488,0.101045763,2.720802,0.444627936,1.410310562,1.968598121,0.957553677,0.368368017,5.0
37.0,0.827119275,0.153436888,2.067993,0.121969908,1.903816422,0.430088227,0.624788858,1.869073631,9.0
44.0,1.194786011,0.192241954,1.17612,0.318026384,3.377342785,0.510515464,0.544108286,1.037709262,4.0
38.0,0.64647434,0.025313537,1.189515,0.408957948,3.037939284,0.172834453,0.126737694,1.324455637,3.0
26.0,0.490971102,0.483662902,1.135579,0.150487472,3.743582512,0.966860042,0.94099328,0.173667278,6.0
34.0,0.24208482,0.310569245,0.17272,0.184547525,4.39077848,1.178944666,0.324622601,3.555403998,9.0
52.0,0.158503793,0.345908079,2.004102,0.56710216,1.980020168,1.712171521,0.941189903,1.856804321,1.0
74.0,0.098448851,0.098448851,1.542167,0.404760301,1.901937369,0.851772872,0.83713717,1.839138472,14.0
46.0,0.890636454,0.0,1.467327,0.201122762,4.019507161,0.904382478,0.674617723,3.014827073,14.0
77.0,0.949261855,0.269340865,2.4091,0.425981737,2.315545297,0.500033772,0.587004161,2.166472591,15.0
